[1;34m[src/utils/log.c:30 init_log] Log is written to /home/wang/InternalDependent_ysyx-workbench/am-kernels/kernels/demo/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:54 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:52 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:60 load_img] The image is /home/wang/InternalDependent_ysyx-workbench/am-kernels/kernels/demo/build/demo-riscv32-nemu.bin, size = 48768[0m
[1;34m[src/monitor/monitor.c:28 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:29 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:32 welcome] Build time: 16:42:53, Apr 30 2026[0m
0x80000000: 00 00 04 13 mv	s0, zero
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032bc: 00 14 47 83 lbu	a5, 1(s0)
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032bc: 00 14 47 83 lbu	a5, 1(s0)
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032bc: 00 14 47 83 lbu	a5, 1(s0)
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032bc: 00 14 47 83 lbu	a5, 1(s0)
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032bc: 00 14 47 83 lbu	a5, 1(s0)
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032bc: 00 14 47 83 lbu	a5, 1(s0)
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032bc: 00 14 47 83 lbu	a5, 1(s0)
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032bc: 00 14 47 83 lbu	a5, 1(s0)
0x800032c0: ff 35 14 e3 bne	a0, s3, -0x18
0x800032a8: 00 a9 00 23 sb	a0, 0(s2)
0x800032ac: 00 14 04 13 addi	s0, s0, 1
0x800032b0: 00 19 09 13 addi	s2, s2, 1
0x800032b4: 00 04 45 03 lbu	a0, 0(s0)
0x800032b8: 02 05 06 63 beqz	a0, 0x2c
0x800032e4: 40 99 09 b3 sub	s3, s2, s1
0x800032e8: 00 09 00 23 sb	zero, 0(s2)
0x800032ec: 05 01 45 03 lbu	a0, 0x50(sp)
0x800032f0: 00 05 0a 63 beqz	a0, 0x14
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x800032f4: 00 14 84 93 addi	s1, s1, 1
0x800032f8: bb df f0 ef jal	-0x444
0x80002eb4: a0 00 07 b7 lui	a5, 0xa0000
0x80002eb8: 3e a7 8c 23 sb	a0, 0x3f8(a5)
0x80002ebc: 00 00 80 67 ret
0x800032fc: 00 04 c5 03 lbu	a0, 0(s1)
0x80003300: fe 05 1a e3 bnez	a0, -0xc
0x80003304: 46 c1 20 83 lw	ra, 0x46c(sp)
0x80003308: 46 81 24 03 lw	s0, 0x468(sp)
0x8000330c: 46 41 24 83 lw	s1, 0x464(sp)
0x80003310: 46 01 29 03 lw	s2, 0x460(sp)
0x80003314: 45 81 2a 03 lw	s4, 0x458(sp)
0x80003318: 45 41 2a 83 lw	s5, 0x454(sp)
0x8000331c: 45 01 2b 03 lw	s6, 0x450(sp)
0x80003320: 00 09 85 13 mv	a0, s3
0x80003324: 45 c1 29 83 lw	s3, 0x45c(sp)
0x80003328: 49 01 01 13 addi	sp, sp, 0x490
0x8000332c: 00 00 80 67 ret
0x80001d50: 01 d0 04 13 addi	s0, zero, 0x1d
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
0x80001d5c: 28 00 10 ef jal	0x1280
0x80002fdc: 00 25 15 13 slli	a0, a0, 2
0x80002fe0: 00 00 57 97 auipc	a5, 5
0x80002fe4: 2d 87 87 93 addi	a5, a5, 0x2d8
0x80002fe8: 00 a7 87 b3 add	a5, a5, a0
0x80002fec: 00 07 a7 83 lw	a5, 0(a5)
0x80002ff0: 00 05 85 13 mv	a0, a1
0x80002ff4: 00 07 80 67 jr	a5
0x80003050: a0 00 07 b7 lui	a5, 0xa0000
0x80003054: 06 07 a7 83 lw	a5, 0x60(a5)
0x80003058: 00 00 87 37 lui	a4, 8
0x8000305c: 00 e7 f6 b3 and	a3, a5, a4
0x80003060: 00 06 8c 63 beqz	a3, 0x18
0x80003078: 00 05 00 23 sb	zero, 0(a0)
0x8000307c: 00 f5 22 23 sw	a5, 4(a0)
0x80003080: 00 00 80 67 ret
0x80001d60: 00 81 47 83 lbu	a5, 8(sp)
0x80001d64: 00 c1 27 03 lw	a4, 0xc(sp)
0x80001d68: fe 07 86 e3 beqz	a5, -0x14
0x80001d54: 00 81 05 93 addi	a1, sp, 8
0x80001d58: 00 80 05 13 addi	a0, zero, 8
